,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
20945,20945,D,231.67,material_7,material_5,6,6,5,9,7,17.203,13.024,16.458,16.692,12.61,18.626,9.393,16.779,20.359,13.115,14.013,18.346,15.331,15.576,586.51,0
8603,8603,B,93.77,material_5,material_5,8,8,11,5,5,17.59,10.912,18.039,16.898,10.653,19.978,12.154,15.118,16.91,11.7,,16.936,13.287,17.725,619.984,0
18087,18087,D,98.1,material_7,material_5,6,6,7,8,4,17.972,11.713,15.506,17.174,13.73,,11.536,17.869,20.621,14.739,15.047,15.679,13.752,17.655,698.988,0
11503,11503,C,92.85,material_7,material_8,5,8,10,7,5,18.07,12.427,18.207,18.261,11.516,,,15.899,20.648,12.585,15.241,15.226,15.908,,,0
22383,22383,E,205.04,material_7,material_6,6,9,6,13,4,17.877,11.723,16.8,17.63,12.76,18.95,11.285,19.277,19.671,10.706,16.593,17.171,15.54,,679.815,0
21858,21858,E,157.77,material_7,material_6,6,9,7,12,4,18.399,10.689,17.506,17.674,12.146,19.13,12.135,14.835,19.1,10.697,13.874,16.815,14.547,17.107,700.079,1
19504,19504,D,132.8,material_7,material_5,6,6,1,3,8,18.453,11.242,17.131,18.669,10.973,18.997,11.717,16.372,19.439,,14.418,17.539,18.116,15.683,789.095,0
5207,5207,B,126.41,material_5,material_5,8,8,1,9,8,18.41,12.941,16.215,18.751,9.903,19.203,10.522,13.322,17.599,12.363,12.75,16.537,14.208,15.22,551.805,0
20641,20641,D,118.36,material_7,material_5,6,6,5,12,2,17.35,12.126,17.318,19.641,12.63,,10.337,16.772,18.669,10.134,14.288,18.038,15.959,17.971,1023.052,0
9926,9926,B,96.08,material_5,material_5,8,8,1,9,11,17.42,12.457,,16.402,8.886,20.339,9.736,19.472,18.81,,17.905,,,17.553,421.705,0
6969,6969,B,143.64,material_5,material_5,8,8,3,13,2,17.479,12.346,17.136,17.57,11.095,18.298,13.474,17.385,18.931,11.629,,15.525,,19.741,722.727,0
26163,26163,E,103.57,material_7,material_6,6,9,7,10,7,15.236,10.358,16.121,17.194,11.694,17.53,10.678,13.066,17.825,14.409,,18.798,14.835,16.569,403.91,0
18385,18385,D,214.29,material_7,material_5,6,6,8,12,7,16.244,10.498,18.416,15.136,12.325,17.755,11.588,17.634,19.739,12.353,15.549,18.388,12.672,19.308,478.884,1
23493,23493,E,128.8,material_7,material_6,6,9,3,13,3,18.531,10.639,17.463,16.93,11.952,18.038,12.222,13.579,18.286,15.004,15.113,15.14,14.4,14.914,558.652,1
8654,8654,B,173.31,material_5,material_5,8,8,7,6,14,15.571,11.352,18.002,16.709,12.986,17.58,13.398,10.786,,12.385,22.713,15.253,14.609,24.094,836.967,1
19966,19966,D,144.32,material_7,material_5,6,6,5,5,6,17.546,12.445,16.924,18.474,12.17,21.175,10.537,17.11,20.059,12.557,16.438,13.893,15.032,16.039,916.218,0
11165,11165,C,95.72,material_7,material_8,5,8,6,10,6,18.362,11.895,18.451,16.034,11.414,,13.021,15.745,20.331,12.797,16.3,,16.024,17.214,758.552,0
17391,17391,D,137.99,material_7,material_5,6,6,14,6,6,19.401,11.931,18.455,16.253,11.622,17.688,11.901,14.014,18.644,12.322,14.793,,16.155,,626.742,1
18336,18336,D,87.49,material_7,material_5,6,6,11,4,1,17.957,11.13,17.026,18.951,10.656,17.011,10.731,14.494,17.818,9.75,15.558,16.658,17.194,17.444,667.871,0
13442,13442,C,193.16,material_7,material_8,5,8,4,6,10,19.503,10.847,17.238,17.838,10.948,19.777,12.266,15.449,17.752,,15.099,18.12,14.451,,775.189,1
10949,10949,C,181.38,material_7,material_8,5,8,0,7,1,17.601,12.38,17.577,17.172,11.773,18.606,11.267,15.454,20.895,9.014,14.591,16.336,11.628,13.999,680.082,1
4496,4496,A,102.19,material_7,material_8,9,5,23,4,5,18.165,13.123,16.895,17.02,10.95,18.267,11.445,16.79,23.285,11.775,15.216,17.02,13.104,16.744,615.677,1
4307,4307,A,72.25,material_7,material_8,9,5,6,9,6,16.264,12.606,17.798,17.876,11.539,19.144,10.298,17.023,17.966,10.985,15.403,18.508,16.161,19.512,768.461,0
3520,3520,A,83.78,material_7,material_8,9,5,5,8,5,18.307,12.496,15.893,16.49,10.357,17.737,12.274,16.843,,10.961,14.914,18.444,13.529,15.46,476.658,0
10673,10673,C,70.81,material_7,material_8,5,8,7,9,3,18.258,11.363,16.277,17.004,11.507,18.688,,15.229,21.082,15.503,15.343,16.042,,19.803,,0
17969,17969,D,104.85,material_7,material_5,6,6,9,9,4,18.946,11.16,18.607,17.517,12.582,19.067,12.749,17.61,19.547,11.784,16.894,16.069,14.004,16.239,867.631,1
12559,12559,C,117.75,material_7,material_8,5,8,4,5,1,18.525,12.356,17.854,18.521,11.715,20.663,12.128,18.086,19.584,13.628,15.742,19.913,15.15,,921.723,0
