STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
Bob'S Liquors & Groceries,957.0,86492.0,10001.0,A,5069 W Madison St,60644,Austin,25,28,17031252201,170312522011000.0,1142425.326543121,1899505.1138985376,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)"
Quick Stop Food Mart,39791.0,3604.0,3000.0,B,2751 W Pratt Blvd,60645,West Ridge,2,50,17031020601,170310206011001.0,1156542.5273663977,1944958.748255934,42.0047500731,-87.6994227766,"(42.0047500731, -87.6994227766)"
Dominick'S #147/1147,41674.0,5033.0,68000.0,A,1340 S Canal St,60607,Near West Side,28,2,17031841900,170318419002092.0,1173296.1226284578,1893985.7049883392,41.8645211937,-87.6393040996,"(41.8645211937, -87.6393040996)"
Cermak Produce,1515206.0,279468.0,25000.0,A,5220 S Pulaski Rd,60632,West Elsdon,62,23,17031620200,170316202001000.0,1150549.397872218,1869568.6744565165,41.79799187,-87.7234437408,"(41.79799187, -87.7234437408)"
Whole Foods Market,54059.0,86298.0,4501.0,B,3300 N Ashland Ave,60657,Lake View,6,44,17031062500,170310625001000.0,1165027.7966924468,1921997.1068875587,41.9415658578,-87.6688604029,"(41.9415658578, -87.6688604029)"
Patel Bros,25338.0,88729.0,5000.0,B,2610 W Devon Ave,60659,West Ridge,2,50,17031020602,170310206023013.0,1157695.3668656345,1942415.3164009475,41.9977473006,-87.6952511581,"(41.9977473006, -87.6952511581)"
Ohio Food Mart,1225367.0,243092.0,3500.0,B,5345 W Ohio St,60644,Austin,25,37,17031251500,170312515002004.0,1140427.8862632848,1903410.3057540525,41.8910492873,-87.7597328373,"(41.8910492873, -87.7597328373)"
Joe'S Food & Liquor,822.0,154.0,3500.0,B,3626 W Lawrence Ave,60625,Albany Park,14,39,17031140301,170311403011011.0,1151203.158881069,1931689.4793308757,41.968445246,-87.7194165758,"(41.968445246, -87.7194165758)"
Two Blue Foods Inc,66710.0,20549.0,3000.0,B,702 E 100Th Pl,60628,Pullman,50,8,17031500100,170315001004015.0,1183074.9839932893,1838632.1930885287,41.712403787,-87.6051275894,"(41.712403787, -87.6051275894)"
Jewel Food Store #3349,1353385.0,259.0,64285.0,A,2520 N Narragansett Ave,60639,Belmont Cragin,19,36,17031831500,170318315001045.0,1133277.021480193,1916208.365371669,41.9262969563,-87.785694824,"(41.9262969563, -87.785694824)"
200 Liquors,48663.0,17055.0,5000.0,B,204 E 47Th St,60653,Grand Boulevard,38,3,17031381500,170313815001007.0,1178461.6344048942,1873949.3843109088,41.8094238941,-87.620951802,"(41.8094238941, -87.620951802)"
Carniceria La Gloria,1471030.0,271545.0,6500.0,B,2551 W 51St St,60632,Gage Park,63,14,17031630500,170316305001004.0,1160008.901705246,1870722.7071781063,41.8009692763,-87.6887220987,"(41.8009692763, -87.6887220987)"
Whole Foods Market,1678043.0,86298.0,11310.0,A,1101 S Canal St,60607,Near West Side,28,2,17031841900,170318419002074.0,1173339.1358198426,1895578.0371911677,41.8688897111,-87.6390989281,"(41.8688897111, -87.6390989281)"
Peterson Food Mart,1272746.0,251347.0,2500.0,B,2534 W Peterson Ave,60659,West Ridge,2,50,17031020802,170310208021019.0,1158181.489637414,1939808.8920842027,41.9905852147,-87.6935345218,"(41.9905852147, -87.6935345218)"
Stanley'S,15042.0,6609.0,10001.0,A,1558 N Elston Ave,60622,West Town,24,32,17031842300,170318423001025.0,1166918.6504769705,1910717.9026233568,41.9105746696,-87.6622352294,"(41.9105746696, -87.6622352294)"
Food 4 Less,1884255.0,251246.0,58000.0,A,4821 W North Ave,60639,Austin,25,37,17031250800,170312508001000.0,1143859.6919038594,1910159.1206884224,41.9095051477,-87.7469599363,"(41.9095051477, -87.7469599363)"
Commercial Grocery,56894.0,23932.0,2500.0,B,3004 E 100Th St,60617,South Deering,51,10,17031510100,170315101002007.0,1197923.0118507417,1839161.152565691,41.7134978435,-87.5507331066,"(41.7134978435, -87.5507331066)"
Jewel Food Store,1953613.0,259.0,62603.0,A,11730 S Marshfield Ave,60643,Morgan Park,75,34,17031750500,170317505004003.0,1167478.1619907953,1826818.2701945968,41.6803322053,-87.6625846787,"(41.6803322053, -87.6625846787)"
"La Unica Food Mart, Inc.",491.0,90.0,5000.0,B,1515 W Devon Ave,60660,Edgewater,77,40,17031030200,170310302004002.0,1164985.8850150076,1942560.4934320904,41.9979934597,-87.6684278857,"(41.9979934597, -87.6684278857)"
